SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
1,UL,Garret Anderson,Angels,220,'02,9,15,LF-RF+2,L,-,1-,2-4,5-6,-,7-14,15-,16-17,-,18+
1,ASG,Garret Anderson,Angels,280,'02,10,15,LF-RF+2,L,-,1-,2-4,5-6,-,7-14,15-,16-18,-,19+
2,UL,David Eckstein,Angels,160,'02,11,18,SS+3,R,-,-,1-6,7-,8-11,12-18,19-,20-25,-,26+
3,UL,Darin Erstad,Angels,160,'02,10,16,"CF+3, LF-RF+2",L,-,1-2,3-6,7-,8-11,12-17,18-,19-23,-,24+
4,UL,Troy Glaus,Angels,330,'02,11,14,3B+1,R,-,1-4,-,5-6,7-13,14-15,-,16-17,-,18+
5,UL,Adam Kennedy,Angels,130,'02,9,16,2B+3,L,-,-,1-,2-6,7-9,10-17,18-,19-23,-,24+
6,UL,Ben Molina,Angels,30,'02,9,10,C+7,R,-,1-,2-4,5-7,8-9,10-19,-,20-21,-,22+
7,UL,Ramon Ortiz,Angels,150,'02,2,07,Starter,R,1-3,4-7,8-13,14-17,18-,19-,-,20-22,-,23+
8,UL,Troy Percival,Angels,310,'02,5,1,Closer,R,1-3,4-11,12-14,15-18,19-,20-26,-,-,-,27+
8,UL,*DAVID ECKSTIEN,Angels,310,'02,11,20,SS+3,R,-,1-,2-5,6-,7-11,12-17,18-,19-24,25-,26+
9,UL,Tim Salmon,Angels,170,'02,11,14,LF-RF+1,R,-,1-3,-,4-6,7-14,15-18,-,19-,-,20+
10,UL,Scott Schoeneweis,Angels,310,'02,5,6,Starter,L,1-2,3-5,6-12,13-15,16-,17-19,-,20-23,-,24+
10,UL,**Brad Fullmer,Angels,140,'02,10,14,---,L,-,1-,2-3,4-7,8-9,10-16,-,17-18,-,19+
11,UL,Scott Spiezio,Angels,220,'02,10,15,1B+1,S,-,1-,2-3,4-7,8-9,10-15,-,16-18,19-,20+
12,UL,Jarrod Washburn,Angels,260,'02,2,6,Starter,L,1-5,6-8,9-12,13-18,-,19-,-,20-21,-,22+
56,UL,*Tim Salmon,Angels,120,'02,10,14,LF-RF+1,R,-,1-3,4-,5-6,7-14,15-18,-,19-,-,20+
96,SS,*Chuck Finley '90,Angels,550,'02,5,07,Starter,L,1-3,4-8,9-13,14-16,17-,18-19,-,20-24,-,25+
130,UL,**Kevin Appier,Angels,340,'02,1,6,Starter,R,1-4,5-9,10-15,16-19,20-21,-,-,-,-,22+
136,UL,**Aaron Sele,Angels,360,'02,2,6,Starter,R,1-4,5-7,8-13,14-18,-,19-20,-,-,-,21+
26,ASG,Lance Berkman,Astros,650,'02,13,14,LF-RF+1,S,-,1-2,3-4,5-6,7-12,13-15,-,16-17,-,18+
33,UL,*Ricky Stone,Astros,70,'02,2,1,Reliever,R,1-3,4-6,9-14,15-17,18-23,-,-,-,-,24+
57,UL,*Craig Biggio,Astros,90,'02,10,14,2B+2,R,-,1-4,5-,6-7,8-11,12-16,17-,18-19,-,20+
70,UL,**Gregg Zaun,Astros,390,'02,12,11,C+6,S,-,1-,2-4,5-7,8-10,11-16,-,17-18,-,19+
79,UL,**Morgan Ensberg,Astros,350,'02,11,15,3B+1,R,-,1-4,5-6,7-,8-10,11-16,-,17-18,-,19+
98,SS,*Jeff Bagwell '94,Astros,800,'02,14,12,1B+1,R,-,1-3,4-,5-6,7-13,14-,-,15-16,-,17+
103,UL,**Billy Wagner,Astros,220,'02,5,1,Closer,L,1-3,4-11,12-15,16-17,18-,19-,-,20-24,-,25+
142,UL,**Carlos Hernandez,Astros,260,'02,4,6,Starter,L,1-3,4-7,8-11,12-15,16-18,19-22,-,-,-,23+
143,UL,Moises Alou,Astros,360,'02,12,13,LF-RF+1,R,-,-,1-3,4-6,7-9,10-16,-,17-18,-,19+
144,UL,Brad Ausmus,Astros,120,'02,8,16,C+9,R,-,-,1-3,4-7,8-9,10-16,-,17-19,20-23,24+
145,UL,Jeff Bagwell,Astros,410,'02,12,16,1B+1,R,-,1-3,4-5,6-,7-12,13-16,-,17-18,-,19+
146,UL,Lance Berkman,Astros,520,'02,13,14,LF-RF+1,S,-,1-3,4-5,6-,7-11,12-15,-,16-18,-,19+
147,UL,Craig Biggio,Astros,230,'02,12,15,2B+1,R,-,1-,2-5,6-7,8-12,13-18,-,19-,-,20+
148,UL,Octavio Dotel,Astros,170,'02,4,1,Reliever,R,1-3,4-11,12-14,15-17,18-19,20-26,-,-,-,27+
149,UL,Richard Hidalgo,Astros,280,'02,11,13,OF+2,R,-,1-3,4-,5-7,8-11,12-16,-,17-18,-,19+
150,UL,Julio Lugo,Astros,130,'02,10,18,SS+3,R,-,1-3,4-5,6-7,8-11,12-18,19-,20-21,-,22+
151,UL,Wade Miller,Astros,290,'02,3,07,Starter,R,1-3,4-8,9-14,15-17,18-,19-,-,20-,-,21+
152,UL,Roy Oswalt,Astros,510,'02,2,07,Starter,R,1-3,4-10,11-16,17-19,-,20-24,-,-,-,25+
153,UL,Shane Reynolds,Astros,290,'02,5,07,Starter,R,1-2,3-4,5-12,13-15,16-,17-19,-,20-21,-,22+
154,UL,Jose Vizcaino,Astros,120,'02,10,19,"SS+2, 2B+1",S,-,-,1-5,6-7,8-9,10-19,-,-,20-26,27+
155,UL,Daryle Ward,Astros,120,'02,9,09,LF-RF+0,L,-,1-3,4-5,6-,7-9,10-15,-,16-18,-,19+
25,ASG,Barry Zito,Athletics,520,'02,4,07,Starter,L,1-3,4-9,10-13,14-17,-,18-20,-,21-,-,22+
28,UL,**David Justice,Athletics,90,'02,10,12,---,L,-,1-3,4-6,7-,8-12,13-17,-,18-,-,19+
51,UL,*Carlos Pena,Athletics,310,'02,9,16,1B+1,L,-,1-4,5-6,7-,8-12,13-16,-,17-18,-,19+
65,UL,*Eric Chavez,Athletics,360,'02,11,14,3B+2,L,-,1-3,4-5,6-,7-10,11-14,-,15-18,-,19+
66,UL,**Carlos Pena,Athletics,240,'02,10,16,1B+0,L,-,1-5,6-,7-,8-11,12-16,-,17-18,-,19+
86,UL,*Barry Zito,Athletics,510,'02,4,6,Starter,L,1-3,4-9,10-13,14-17,-,18-23,-,-,-,24+
104,UL,**Erik Hiljus,Athletics,350,'02,2,6,Starter,R,1-5,6-11,12-13,14-18,-,19-23,-,-,-,24+
106,SS,*Rickey Henderson '90,Athletics,670,'02,14,26,LF-RF+2,R,-,1-,2-4,5-6,7-12,13-,14-15,16-18,19-,20+
114,UL,**Chad Bradford,Athletics,90,'02,1,1,Reliever,R,1-,2-7,8-18,19-,-,20-,-,-,-,21+
138,UL,**Billy Koch,Athletics,40,'02,3,1,Closer,R,1-3,4-7,8-14,15-16,17-18,19-23,-,-,-,24+
237,UL,Eric Chavez,Athletics,270,'02,10,14,3B+2,L,-,1-2,3-6,7-,8-9,10-14,-,15-17,-,18+
238,UL,Johnny Damon,Athletics,160,'02,10,19,OF+2,L,-,-,1-5,6-7,8-11,12-17,18-,19-23,-,24+
239,UL,Jermaine Dye,Athletics,210,'02,10,15,LF-RF+1,R,-,1-2,3-5,6-,7-9,10-16,-,17-18,-,19+
240,UL,Jason Giambi,Athletics,530,'02,14,12,1B+0,L,-,1-2,3-4,5-6,7-12,13-16,-,17-18,-,19+
241,UL,Jeremy Giambi,Athletics,240,'02,12,10,LF-RF+0,L,-,1-3,4-5,6-,7-12,13-17,-,18-19,-,20+
242,UL,Ramon Hernandez,Athletics,170,'02,9,11,C+7,R,-,1-,2-5,6-,7-9,10-16,-,17-18,-,19+
243,UL,Tim Hudson,Athletics,520,'02,2,07,Starter,R,1-3,4-8,9-17,18-19,-,20-25,-,-,-,26+
244,UL,Jason Isringhausen,Athletics,270,'02,5,1,Closer,R,1-2,3-9,10-15,16-18,-,19-,-,20-26,-,27+
245,UL,Terrance Long,Athletics,180,'02,10,16,OF+1,R,-,1-,2-5,6-7,8-9,10-17,-,18-19,-,20+
246,UL,Mark Mulder,Athletics,540,'02,3,07,Starter,L,1-3,4-7,8-15,16-18,-,19-26,-,-,-,27+
247,UL,Olmedo Saenz,Athletics,50,'02,8,11,---,R,-,1-2,3-,4-6,7-11,12-15,-,16-18,-,19+
248,UL,Miguel Tejada,Athletics,250,'02,10,17,SS+2,R,-,1-,2-5,6-7,8-10,11-16,-,17-,-,18+
249,UL,Barry Zito,Athletics,530,'02,4,6,Starter,L,1-4,5-10,11-14,15-17,18-,19-25,-,-,-,26+
3,UL,*Raul Mondesi,Blue Jays,240,'02,10,19,LF-RF+1,R,-,1-3,4-,5-6,7-12,13-16,-,17-,-,18+
7,UL,*Shannon Stewart,Blue Jays,230,'02,11,19,CF+0,R,-,-,1-4,5-6,7-9,10-16,17-,18-20,21-,22+
9,ASG,Roy Halladay,Blue Jays,600,'02,5,07,Starter,R,1-2,3-6,7-14,15-16,17-,18-19,-,20-26,-,27+
42,UL,*Roy Halladay,Blue Jays,560,'02,5,07,Starter,R,1-2,3-6,7-15,16-17,-,18-19,-,20-26,-,27+
58,UL,*Eric Hinske,Blue Jays,380,'02,11,16,3B+1,L,-,1-4,5-,6-,7-10,11-14,15-,16-18,-,19+
65,UL,**Felipe Lopez,Blue Jays,230,'02,9,19,"SS+3, 3B+2",S,-,1-3,4-5,6-7,8-9,10-16,17-,-,18-,19+
71,UL,**Eric Hinske,Blue Jays,230,'02,10,16,3B+1,L,-,1-5,6-,7-,8-10,11-15,16-,17-18,-,19+
83,UL,**Tom Wilson,Blue Jays,200,'02,10,11,C+3,R,-,1-4,5-,6-,7-12,13-16,-,17-18,-,19+
114,SS,*Roberto Alomar '93,Blue Jays,560,'02,14,23,2B+6,S,-,1-2,3-5,6-7,8-12,13-14,15-,16-19,-,20+
118,UL,**Roy Halladay,Blue Jays,560,'02,5,07,Starter,R,1-2,3-7,8-15,16-17,-,18-19,-,20-28,-,29+
344,UL,Chris Carpenter,Blue Jays,180,'02,2,6,Starter,R,1-3,4-7,8-14,15-17,18-,19-,-,20-,-,21+
345,UL,Jose Cruz,Blue Jays,300,'02,10,19,"CF+1, LF-RF+0",S,-,1-4,5-6,7-,8-9,10-13,14-,15-17,-,18+
346,UL,Carlos Delgado,Blue Jays,330,'02,12,12,1B+0,L,-,1-3,4-5,6-,7-12,13-16,-,17-18,-,19+
347,UL,Kelvim Escobar,Blue Jays,180,'02,5,1,Reliever,R,1-3,4-9,10-14,15-17,18-,19-,-,20-26,-,27+
